Part Name,Quantity,Link,
LED strip,1,https://www.trendyol.com/cata/ct-4557-rgb-serit-led-set-5-metre-kumanda-adaptor-renkli-dekoratif-isik-p-947528700?boutiqueId=61&merchantId=1105579&storefrontId=1&countryCode=TR&language=tr&gads=true, 
MDF hardboard,3,https://www.trendyol.com/mobilreyon/3-adet-mdf-duralit-beyaz-mdf-4-mm-25x35-cm-p-46343807, 
Mosfet Transistor,3,https://www.direnc.net/irf4905-power-mosfetvdss-55v-rdson002ohm-id-74a?language=tr&h=1d903867&srsltid=AfmBOop676WVXmxns09yHcYrj4NDNOUGAPFcXwYoDWtjhXHvhMM9wDD9VBY, 
Potentiometer,3,https://www.trendyol.com/ponemio/potansiyometre-ayarlanabilir-direnc-degerleri-5k-ohm-p-1138998795?boutiqueId=61&merchantId=119133&storefrontId=1&countryCode=TR&language=tr&gads=true, 
"IR receiver 
controller set",1,https://www.robotistan.com/ir-alici-verici-kumanda-seti-ir-receiver-module-wireless-remote-control-k?language=tr&h=d2a117f3, 
Arduino Uno R3,1,https://www.robotistan.com/arduino-tabanli-uno-r3-gelistirme-karti-ch340?language=tr&h=cc6cfde3, 
Switch,2,https://www.robotistan.com/3-ayakli-togle-anahtar-on-off-on, 
7.4V battery,1,https://www.robotistan.com/jsumo-2s-74v-2s-lipo-batarya-450mah-25c?language=tr&h=9c4cab02&_sgm_campaign=scn_bfbf067252000&_sgm_source=12928&_sgm_action=click, 
